Company Name,Business Type,Phone,City,Website URL,Status,Email Sent,SMS Sent,Called,Date Contacted,Follow-Up Date,Response Notes,Deal Value,Priority
LH Custom Contracting LLC,Bathroom remodeler,+1 435-229-1535,Utah,[YOUR DOMAIN]/companies/lh-custom-contracting-llc.html,New Lead,No,No,No,,,,,Medium
Desert Plumbing Corporation,Plumber,+1 435-668-1430,Utah,[YOUR DOMAIN]/companies/desert-plumbing-corporation.html,New Lead,No,No,No,,,,,Medium
Digital Marble and Granite,Marble contractor,+1 435-680-8050,Utah,[YOUR DOMAIN]/companies/digital-marble-and-granite.html,New Lead,No,No,No,,,,,Medium
Magicman Handyman LLC,Handyman,+1 435-635-3095,Utah,[YOUR DOMAIN]/companies/magicman-handyman-llc.html,New Lead,No,No,No,,,,,Medium
Wasatch Mountain Electrical Services,Electrician,+1 385-206-5462,Utah,[YOUR DOMAIN]/companies/wasatch-mountain-electrical-services.html,New Lead,No,No,No,,,,,Medium
Shalom Electrical Services,Electrical installation service,+1 201-424-7624,Utah,[YOUR DOMAIN]/companies/shalom-electrical-services.html,New Lead,No,No,No,,,,,Medium
PoPo's Remodeling,Handyman,+1 801-200-3404,Utah,[YOUR DOMAIN]/companies/popo-s-remodeling.html,New Lead,No,No,No,,,,,Medium
Eagle Valley Design,Cabinet maker,+1 801-854-8762,Utah,[YOUR DOMAIN]/companies/eagle-valley-design.html,New Lead,No,No,No,,,,,Medium
RCI Drywall,Drywall contractor,+1 801-420-7905,Utah,[YOUR DOMAIN]/companies/rci-drywall.html,New Lead,No,No,No,,,,,Medium
Kstone & Tile,Tile contractor,+1 801-427-2745,Utah,[YOUR DOMAIN]/companies/kstone-tile.html,New Lead,No,No,No,,,,,Medium
Caron Electric LLC,Electrician,+1 435-790-4457,Utah,[YOUR DOMAIN]/companies/caron-electric-llc.html,New Lead,No,No,No,,,,,Medium
Bright Electric LLC,Electrician,+1 435-592-1315,Utah,[YOUR DOMAIN]/companies/bright-electric-llc.html,New Lead,No,No,No,,,,,Medium
Heber City Utah Kitchen Remodeling,Kitchen remodeler,+1 435-236-3299,"Heber City, UT",[YOUR DOMAIN]/companies/heber-city-utah-kitchen-remodeling.html,New Lead,No,No,No,,,,,Medium
C J Electrical,Electrician,+1 435-787-1865,Utah,[YOUR DOMAIN]/companies/c-j-electrical.html,New Lead,No,No,No,,,,,Medium
Lowery Electric,Electrician,+1 435-753-0343,Utah,[YOUR DOMAIN]/companies/lowery-electric.html,New Lead,No,No,No,,,,,Medium
DREAM KITCHEN and COUNTERTOP INC,Cabinet maker,+1 801-809-9199,Utah,[YOUR DOMAIN]/companies/dream-kitchen-and-countertop-inc.html,New Lead,No,No,No,,,,,Medium
